amplitude_case,separation_hz,replicate,sample_count,amplitude_1,amplitude_2,component_1_snr_db,component_2_snr_db,main_estimated_k,main_max_frequency_error_hz,main_success,main_bic_improvement,main_candidate_origin,main_residual_peak_ratio,main_conditional_glrt_statistic,main_conditional_glrt_threshold,main_frequency_ci_reliable,main_frequency_1_se_hz,main_frequency_2_se_hz,main_local_grid_step_hz,condition_design,condition_normal,smallest_singular_value,numerical_rank,column_count,ill_conditioned,music_estimated_k,music_max_frequency_error_hz,music_success,music_grid_step_hz,main_runtime_seconds,music_runtime_seconds,main_frequency_1_hz,main_frequency_2_hz,music_frequency_1_hz,music_frequency_2_hz
equal,0.00025,41,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-2713.8434688288253,peel_residual_rescan,10.977942239536985,0.0,5.291862556499362,False,nan,nan,2.5e-05,1.0215912621712315,1.0436487069446099,0.9892631132543153,5,5,False,1,nan,False,2.5e-05,0.4954921000171453,0.031553099979646504,13.489742752991127,nan,13.499975,nan
equal,0.00025,42,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-291.34908874644316,fine_grid_secondary_peak,7.116016424324265,0.0,5.291862556499362,False,nan,nan,2.5e-05,1.0306271856196336,1.0621923957382466,0.9848053562271719,5,5,False,1,nan,False,2.5e-05,0.49509079998824745,0.02392349997535348,13.506773766117766,nan,13.50005,nan
equal,0.00025,43,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-27.048173678515013,fine_grid_secondary_peak,6.363963804344823,1.5804189128247828,5.291862556499362,False,nan,nan,2.5e-05,1.0942387210325342,1.1973583786069162,0.9540355341673917,5,5,False,1,nan,False,2.5e-05,0.4841004000045359,0.023482399992644787,13.507228740586473,nan,13.5075,nan
equal,0.00025,44,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-23.71374969833414,peel_residual_rescan,5.691367012234577,2.6918771351755217,5.291862556499362,False,nan,nan,2.5e-05,2.799108984014473,7.835011104390535,0.4757857703615993,5,5,False,1,nan,False,2.5e-05,0.5526446999865584,0.0267891000257805,13.49840003994875,nan,13.500075,nan
equal,0.00025,45,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-29.905414663779084,adaptive_split_0.65_over_T,3.6512908117019136,0.6280930435380342,5.291862556499362,False,nan,nan,2.5e-05,1.1277936512746631,1.2719185198554366,0.9382501055614939,5,5,False,1,nan,False,2.5e-05,0.5107452000374906,0.021705999970436096,13.501474963176172,nan,13.500025,nan
equal,0.00025,46,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-28.37084222913836,adaptive_split_1.00_over_T,3.9968406816694313,1.1395615804451575,5.291862556499362,False,nan,nan,2.5e-05,1.0894572804612763,1.1869171659500801,0.9563103087008364,5,5,False,1,nan,False,2.5e-05,0.5703233000240289,0.025068000017199665,13.501499962551186,nan,13.500225,nan
equal,0.00025,47,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-940.8345186158549,peel_residual_rescan,8.106252691706345,0.0,5.291862556499362,False,nan,nan,2.5e-05,1.1056660442545259,1.2224974014174512,0.948624565509321,5,5,False,1,nan,False,2.5e-05,0.5578233999549411,0.029034600011073053,13.493991536709704,nan,13.500025,nan
equal,0.00025,48,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-29.272484688990517,peel_residual_rescan,8.150684424716808,0.8390443889668241,5.291862556499362,False,nan,nan,2.5e-05,1.074755614532632,1.1550996309694155,0.9633438330938924,5,5,False,1,nan,False,2.5e-05,0.5732835999806412,0.024169699987396598,13.498475038073797,nan,13.500025,nan
equal,0.00025,49,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-303.5664646450605,peel_residual_rescan,5.428711838309321,0.0,5.291862556499362,False,nan,nan,2.5e-05,1.0102107479648688,1.0205257553037397,0.9949077238780659,5,5,False,1,nan,False,2.5e-05,0.4009181999717839,0.026872900023590773,13.49201202235985,nan,13.500075,nan
equal,0.00025,50,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-2457.4667701183353,peel_residual_rescan,8.440635897063586,0.0,5.291862556499362,False,nan,nan,2.5e-05,1.002422490825831,1.0048508501134632,0.9987881731574981,5,5,False,1,nan,False,2.5e-05,0.3516984999878332,0.020377799984999,13.506107175757029,nan,13.5,nan
